title,listing_url,source_website,img_of_unit,days_ago_posted,post_updated,first_seen,last_seen,status,address,street_address,neighbourhood,city,province,price,bedrooms,bathrooms,square_feet,lot_size,property_type,post_description,move_in_date,security_deposit,min_rental_period,amenities,features,facilities,pet,appliances,parking,locker,smoking,agent_name,brokerage,listing_id,listing_hash,latitude,longitude,furnished,pets_allowed,utilities_included,description,is_active
"1003 833 HOMER STREET Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/1003-833-homer-street-vancouver-british-columbia/1738813464,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"833 HOMER STREET, Vancouver, BC, V6B2W2",833 HOMER STREET,Vancouver,Vancouver,BC,3795,2,3,N/A,N/A,Apartment,"Enjoy the comfort and convenience of this furnished 2 bedroom plus den condo for rent in downtown Vancouver. Located in the Atelier building, this spacious suite offers 1180 sqft of living space, ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738813464,4e35348f1aee6e3f78a8aef99d6adae9,N/A,N/A,N/A,N/A,N/A,N/A,1
"31X 180 EAST 2ND AVENUE Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/31x-180-east-2nd-avenue-vancouver-british-columbia/1738810965,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"180 EAST 2ND AVENUE, Vancouver, BC, V5T0K4",180 EAST 2ND AVENUE,Vancouver,Vancouver,BC,3400,1,1,N/A,N/A,House,"Welcome to Second + Main in the heart of Mount Pleasant, one of Vancouver´s most vibrant neighborhoods. This modern 2 Bed + Den, 2 Bath home is situated on the quiet side of the building, offering ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738810965,0afae9a8d5a278ba5c83c7fc8b5f091d,N/A,N/A,N/A,N/A,N/A,N/A,1
"2400 WEST 19TH AVENUE Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/2400-west-19th-avenue-vancouver-british-columbia/1738811816,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"WEST 19TH AVENUE, Vancouver, BC, V6L1C7",WEST 19TH AVENUE,Vancouver,Vancouver,BC,2100,2,1,N/A,N/A,House,"Please Email or Text to book the showing, thanks. 1. Address: 24xx West 19th Ave 2. Area: Vancouver W 3. Style: House 4. Room:2bed1bath 5. level: Basement 6. Floor sqft: 800 sqft 7. lot sqft: sqft 8. ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738811816,b68c74b5067fc0dbaef4eac69ae22b72,N/A,N/A,N/A,N/A,N/A,N/A,1
"1XX 5728 BERTON AVENUE Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/1xx-5728-berton-avenue-vancouver-british-columbia/1738811257,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"5728 BERTON AVENUE, Vancouver, BC, V6S0E5",5728 BERTON AVENUE,Vancouver,Vancouver,BC,4000,2,2,N/A,N/A,N/A,UBC Ground Floor Separate Entrance 2 bed 2 bath for Rent FEATURING: - Brand New Floor and Paint - 1 storage &amp; 1 parking - Central AC - Separate Entrance - Ground floor good for piano playing - ...,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738811257,f0a3f2faa5ef6fce31573cb9cd29ded5,N/A,N/A,N/A,N/A,N/A,N/A,1
"1001 6233 KATSURA STREET Richmond, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/1001-6233-katsura-street-richmond-british-columbia/1738811585,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"6233 KATSURA STREET, Richmond, BC, V5R5T5",6233 KATSURA STREET,Richmond,Vancouver,BC,2500,2,2,N/A,N/A,Apartment,"Bright and spacious southeast corner unit at sought-after Hamptons Park in Richmond´s McLennan North neighbourhood. This well-maintained 2 bedroom, 2 bathroom home features an efficient open-concept ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738811585,c1034dc29f006241a63b57e6c11c15d0,N/A,N/A,N/A,N/A,N/A,N/A,1
"3005 198 AQUARIUS MEWS Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/3005-198-aquarius-mews-vancouver-british-columbia/1738811958,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"198 AQUARIUS MEWS, Vancouver, BC, V6Z2Y4",198 AQUARIUS MEWS,Vancouver,Vancouver,BC,2650,1,1,N/A,N/A,Apartment,"Available July 15-FULLY FURNISHED JR-1BED &amp; DEN, 526sf, 30th Floor Corner unit with stunning city and marina views at the prestigious Yaletown condo. Featuring equipped kitchen with gas stove, ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738811958,ebb9e0e34f43dfdfc1cab10cdaf14469,N/A,N/A,N/A,N/A,N/A,N/A,1
"1907 - 585 AUSTIN AVENUE Coquitlam, BC, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/1907-585-austin-avenue-coquitlam-bc-british-columbia/1738812339,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"- 585 AUSTIN AVENUE, Coquitlam, BC, BC, V3K0G6",- 585 AUSTIN AVENUE,Coquitlam,Vancouver,BC,3600,1,1,N/A,N/A,N/A,"Fully Furnished, Move-in With Suitcase. The PANORAMIC View is breathtaking. Large Open Living &amp; Dining Rm w/9&apos; High Ceiling, Massive Floor to Ceiling Windows w/Roller Blinds, Gorgeous Wide Plank Wood ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738812339,e54a882f5e2774ee599a945c1ab9e977,N/A,N/A,N/A,N/A,N/A,N/A,1
"205 2888 ARBUTUS STREET Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/205-2888-arbutus-street-vancouver-british-columbia/1738811352,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"2888 ARBUTUS STREET, Vancouver, BC, V6J0J1",2888 ARBUTUS STREET,Arbutus,Vancouver,BC,2590,1,1,N/A,N/A,Apartment,"This is a near-new, luxurious, 691sf, 1 bedroom + den, corner unit, featuring 9&apos; ceilings, plenty of full-height windows on two sides, heating &amp; cooling (system only), roller blinds, engineered wood ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738811352,b75f4cd438f1b0f51add152a9031554b,N/A,N/A,N/A,N/A,N/A,N/A,1
"212 1940 BARCLAY STREET Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/212-1940-barclay-street-vancouver-british-columbia/1738813461,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"1940 BARCLAY STREET, Vancouver, BC, V6G1L3",1940 BARCLAY STREET,Vancouver,Vancouver,BC,1995,1,1,N/A,N/A,Apartment,"Enjoy smart design and modern furnishings in this West End Vancouver Furnished Condo for Rent at Bourbon Court. With 400 square feet, this studio suite enjoys built-in cabinetry including a Murphy ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738813461,368e800da7400d53819d2a8b581b715f,N/A,N/A,N/A,N/A,N/A,N/A,1
"2202 689 ABBOTT STREET Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/2202-689-abbott-street-vancouver-british-columbia/1738813460,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"689 ABBOTT STREET, Vancouver, BC, V6B6B8",689 ABBOTT STREET,Vancouver,Vancouver,BC,3650,2,2,N/A,N/A,Apartment,"Discover the perfect blend of urban living and natural beauty in this spacious 980 square foot unfurnished condo in Vancouver. With stunning city, water, and mountain views, this residence offers an ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738813460,6937e824e04044dc61f6357063df9102,N/A,N/A,N/A,N/A,N/A,N/A,1
VERY spacious one bedroom,https://www.kijiji.ca/v-apartments-condos/vancouver/very-spacious-one-bedroom/1735851537,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"55 Water Street, Vancouver, BC, V6B 1A1",55 Water Street,Vancouver,Vancouver,BC,3100,1,1,969,N/A,N/A,VERY spacious one bedroom Building Features: Zoned as live/work allowing for both commercial and residential uses Secured fob entry for added security On-site management Conference room Fitness ...,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1735851537,fdc84fdb72cac4584a40f3063d008b12,N/A,N/A,N/A,N/A,N/A,N/A,1
Pet friendly Studio suite for rent with AC $1925,https://www.kijiji.ca/v-apartments-condos/vancouver/pet-friendly-studio-suite-for-rent-with-ac-1925/1737551647,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"2550 Garden Drive, Vancouver, BC",2550 Garden Drive,Vancouver,Vancouver,BC,1925,Studio/Bachelor,1,426,N/A,Apartment,"Pet Friendly Studio suite with AC, located at 2550 Garden Drive available July 1, $1925 (hot water and gas included) This 426 sqft upper floor unit with city views has high ceilings and an open and ...",N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1737551647,49eabcf599135a374a14dc859d8a6566,N/A,N/A,N/A,N/A,N/A,N/A,1
1 bedroom/1 bathroom apartment on 22nd floor(Marine Gateway),https://www.kijiji.ca/v-apartments-condos/vancouver/1-bedroom-1-bathroom-apartment-on-22nd-floor-marine-gateway/1738806322,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"Vancouver, BC V5X 0C7",Vancouver,BC V5X 0C7,Vancouver,BC,2100,1,1,480,N/A,Apartment,"A prime - location apartment just 12 steps from the Marine Drive Skytrain station. TD, BMO, RBC,CIBC Tim Hortons, Starbucks, A&amp;W, Subway, Fitness, T&amp;T, Winners, Movies and many more shpos are all ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738806322,72cf3bda18880c9be005599be71b79b9,N/A,N/A,N/A,N/A,N/A,N/A,1
"$3,100 Furnished 1Bed+Den | Airbnb-Permitted | Downtown",https://www.kijiji.ca/v-apartments-condos/vancouver/3-100-furnished-1bed-den-airbnb-permitted-downtown/1738802844,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"Vancouver, BC V6B 0B9",Vancouver,BC V6B 0B9,Vancouver,BC,3100,1.5,1,570,N/A,Apartment,Rare Airbnb-Permitted Building — Unique Opportunity for the Right Tenant Firenze II is one of Vancouver&apos;s few strata-approved buildings where licensed short-term rentals are permitted. Once you have ...,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1738802844,73b77e16507c17459024527737627979,N/A,N/A,N/A,N/A,N/A,N/A,1
Mordern 2B2B + Flex in East Vancouver- Steps to Transit &amp; Drive,https://www.kijiji.ca/v-apartments-condos/vancouver/mordern-2b2b-flex-in-east-vancouver-steps-to-transit-drive/1738802576,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"2250 E 1st Ave, Vancouver, BC V5N 1B9",2250 E 1st Ave,Vancouver,Vancouver,BC,3700,2.5,2,830,N/A,Apartment,"New 2 Bed / 2 Bath + Flex Condo | 2055 East 1st Ave | Furnished | Passive house Available ASAP Brand new building, appliances, balcony, laundry in-suite Conveniently located with a direct 45-minute ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738802576,e09dc2b3eab004207712d3157895eb6e,N/A,N/A,N/A,N/A,N/A,N/A,1
Studio Apartment for Rent - 2222 Bellevue Avenue,https://www.kijiji.ca/v-apartments-condos/vancouver/studio-apartment-for-rent-2222-bellevue-avenue/1735671178,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"2222 Bellevue Avenue, West Vancouver, BC, V7V 1C7",2222 Bellevue Avenue,West Vancouver,Vancouver,BC,2484,Studio/Bachelor,1,440,N/A,Apartment,"Virtual Open House: View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing. The Villa Maris sits directly on the ocean above the sea wall ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1735671178,00b75832b1f86a9a2bf80636950d86c3,N/A,N/A,N/A,N/A,N/A,N/A,1
"505 628 KINGHORNE MEWS Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/505-628-kinghorne-mews-vancouver-british-columbia/1737255604,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"628 KINGHORNE MEWS, Vancouver, BC, V6Z3A9",628 KINGHORNE MEWS,Vancouver,Vancouver,BC,4200,2,2,N/A,N/A,Apartment,"Welcome to the Silver Seas, a premier waterfront address where luxury meets tranquility. This rare FURNISHED 2 bed +2 bath condo is bathed in natural light year-round while offering stunning views of ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1737255604,c7bd1e22ef279c21ecede2a353946a38,N/A,N/A,N/A,N/A,N/A,N/A,1
"47xx LITTLE STREET Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/47xx-little-street-vancouver-british-columbia/1737254440,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"LITTLE STREET, Vancouver, BC, V5X2C6",LITTLE STREET,Vancouver,Vancouver,BC,1300,1,1,N/A,N/A,Basement Suite,"This functional basement suite on Victoria Dr &amp; Kingsway offers a peaceful residential retreat with easy access to the city. The suite features 1 bedroom, a private bathroom, and kitchen facilities. ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1737254440,8b57e71ae0124e69cd9893fd6aa744ff,N/A,N/A,N/A,N/A,N/A,N/A,1
"5XX 1661 QUEBEC STREET Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/5xx-1661-quebec-street-vancouver-british-columbia/1737243287,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"1661 QUEBEC STREET, Vancouver, BC, V6B0P4",1661 QUEBEC STREET,Vancouver,Vancouver,BC,2900,1,1,N/A,N/A,Apartment,"*Fully furnished.* Hydro (hot water, electricity), WiFi, ALL included. Tenant pays NO bills.1 month lease &amp; up.1BDR+DEN,1BATH unit in an upscale building(6 years old). It is located in Olympic ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1737243287,2405d0cffae513b9bc340b1269061c06,N/A,N/A,N/A,N/A,N/A,N/A,1
"3000 W 38TH AVENUE Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/3000-w-38th-avenue-vancouver-british-columbia/1732828678,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"W 38TH AVENUE, Vancouver, BC, V6N2Y3",W 38TH AVENUE,Vancouver,Vancouver,BC,6800,4,3,N/A,N/A,House,"Description: Experience refined living in this beautiful, semi-custom built 2-story home (2006) located in the heart of the prestigious Dunbar neighborhood. This meticulously maintained residence ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1732828678,7bf308068f5c2227250c77b87dbba240,N/A,N/A,N/A,N/A,N/A,N/A,1
"3 625 W 53RD AVENUE Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/3-625-w-53rd-avenue-vancouver-british-columbia/1732826477,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"625 W 53RD AVENUE, Vancouver, BC, V6P1K2",625 W 53RD AVENUE,Vancouver,Vancouver,BC,4200,3,2,N/A,N/A,N/A,"Furnished rental Westside New 3 bedroom 2 bath in Oakridge/South Cambie Langara area, 3 bedrooms 2 bathroom 1100 sf 10 min walk to sky train Fully furnished Well train Pets allowed with Pet deposit 1 ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1732826477,bb53ebfe515570fd983812e6f817294e,N/A,N/A,N/A,N/A,N/A,N/A,1
Century - 3 Bedroom Apartment for Rent,https://www.kijiji.ca/v-apartments-condos/vancouver/century-3-bedroom-apartment-for-rent/1738512742,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"250 EAST 15TH STREET, North Vancouver, BC, V7L 2R4",250 EAST 15TH STREET,North Vancouver,Vancouver,BC,4650,3,2,981,N/A,House,"Century by Cressey offers pet-friendly studio, one-, two-, and three-bedroom rental homes in the vibrant Central Lonsdale neighbourhood of North Vancouver. This building is a walker&apos;s paradise as the ...",N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1738512742,72bf42fd3e0881390646724af625005b,N/A,N/A,N/A,N/A,N/A,N/A,1
Century - 3 Bedroom Apartment for Rent,https://www.kijiji.ca/v-apartments-condos/vancouver/century-3-bedroom-apartment-for-rent/1738354708,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"250 EAST 15TH STREET, North Vancouver, BC, V7L 2R4",250 EAST 15TH STREET,North Vancouver,Vancouver,BC,4650,3,1,1025,N/A,House,"Century by Cressey offers pet-friendly studio, one-, two-, and three-bedroom rental homes in the vibrant Central Lonsdale neighbourhood of North Vancouver. This building is a walker&apos;s paradise as the ...",N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1738354708,9739ef82d16948c071b1ec4c5bbe8b9a,N/A,N/A,N/A,N/A,N/A,N/A,1
Century - 1 Bedroom Apartment for Rent,https://www.kijiji.ca/v-apartments-condos/vancouver/century-1-bedroom-apartment-for-rent/1738247260,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"250 EAST 15TH STREET, North Vancouver, BC, V7L 2R4",250 EAST 15TH STREET,North Vancouver,Vancouver,BC,2725,1,1,523,N/A,House,"Century by Cressey offers pet-friendly studio, one-, two-, and three-bedroom rental homes in the vibrant Central Lonsdale neighbourhood of North Vancouver. This building is a walker&apos;s paradise as the ...",N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1738247260,f32891732ffb3c7e2464b2ec8cce5611,N/A,N/A,N/A,N/A,N/A,N/A,1
Century - 2 Bedroom Apartment for Rent,https://www.kijiji.ca/v-apartments-condos/vancouver/century-2-bedroom-apartment-for-rent/1737984380,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"250 EAST 15TH STREET, North Vancouver, BC, V7L 2R4",250 EAST 15TH STREET,North Vancouver,Vancouver,BC,3676,2,2,726,N/A,House,"Century by Cressey offers pet-friendly studio, one-, two-, and three-bedroom rental homes in the vibrant Central Lonsdale neighbourhood of North Vancouver. This building is a walker&apos;s paradise as the ...",N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1737984380,045c1bd333475334f06bdd1bcf1efdfd,N/A,N/A,N/A,N/A,N/A,N/A,1
